,TEAM,GP,W,L,win%,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,#ERROR!
25,Atlanta Hawks,82,28,54,,3981,7611,2829,6529,,419,1249,,1534,1976,,996,2507,3503,1648,1350,627,408,416,1826,3,-381
20,Boston Celtics,82,36,46,,3941,7811,2843,6415,,553,1599,,1572,2095,,851,2440,3291,1683,1332,770,331,408,1837,2,-119
14,Boston Celtics,4,0,4,,192,338,115,282,,21,63,,87,108,,37,127,164,70,79,26,20,24,81,0,-67
28,Chicago Bulls,82,23,59,,3966,7355,2798,6753,,429,1256,,1330,1834,,1048,2519,3567,1793,1321,659,396,446,1911,3,-521
21,Cleveland Cavaliers,82,35,47,,3971,7619,2922,6753,,247,786,,1528,2030,,1118,2619,3737,1808,1216,585,537,434,1743,2,-215
7,Dallas Mavericks,82,52,30,,3961,8626,3322,7230,,507,1456,,1475,1854,,1174,2538,3712,1963,1000,656,437,382,1609,3,364
10,Dallas Mavericks,5,1,4,,240,498,191,482,,25,87,,91,118,,102,159,261,103,68,46,33,23,108,0,7
11,Denver Nuggets,82,43,39,,3946,7972,2993,6763,,331,985,,1655,2159,,1083,2387,3470,1794,1278,745,520,479,1804,6,88
10,Denver Nuggets,5,1,4,,240,453,186,436,,22,65,,59,84,,72,144,216,102,71,39,14,30,121,0,-20
6,Detroit Pistons,82,54,28,,3956,7388,2747,6314,,333,968,,1561,2074,,1014,2492,3506,1702,1241,659,570,410,1664,4,479
1,Detroit Pistons,23,16,7,,1124,2003,722,1754,,97,319,,462,629,,296,735,1031,447,342,184,164,117,518,5,147
18,Golden State Warriors,82,37,45,,3971,7649,2875,6511,,429,1283,,1470,2028,,1002,2533,3535,1681,1211,576,389,418,1691,2,-60
10,Houston Rockets,82,45,37,,3986,7362,2738,6195,,515,1406,,1371,1774,,847,2647,3494,1579,1373,560,443,359,1762,3,142
10,Houston Rockets,5,1,4,,245,423,159,372,,23,76,,82,114,,48,174,222,86,84,26,18,20,114,0,-27
1,Indiana Pacers,82,61,21,,3961,7493,2753,6322,,449,1281,,1538,2014,,965,2452,3417,1774,1182,726,411,512,1709,5,472
3,Indiana Pacers,16,10,6,,768,1368,491,1202,,95,285,,291,397,,173,501,674,286,217,139,100,101,376,2,71
25,Los Angeles Clippers,82,28,54,,3961,7771,2817,6579,,329,1024,,1808,2302,,1149,2416,3565,1653,1344,594,376,437,1816,3,-376
4,Los Angeles Lakers,82,56,26,,3971,8052,3028,6676,,365,1115,,1631,2352,,1001,2535,3536,1948,1132,682,379,308,1732,5,320
5,Los Angeles Lakers,22,13,9,,1066,1939,727,1639,,109,340,,376,614,,224,661,885,498,278,161,93,75,503,2,20
8,Memphis Grizzlies,82,50,32,,3976,7930,2963,6657,,447,1314,,1557,2143,,1047,2381,3428,1915,1226,795,565,461,1903,4,200
14,Memphis Grizzlies,4,0,4,,192,334,123,290,,15,51,,73,94,,38,100,138,58,57,38,20,25,100,1,-56
12,Miami Heat,82,42,40,,3951,7402,2729,6417,,485,1357,,1459,1915,,940,2459,3399,1565,1137,590,313,439,1812,4,43
8,Miami Heat,13,6,7,,624,1093,397,972,,48,174,,251,333,,148,396,544,212,184,98,53,65,317,2,2
14,Milwaukee Bucks,82,41,41,,3956,8039,2970,6650,,401,1145,,1698,2192,,960,2502,3462,1872,1110,554,383,406,1668,3,87
10,Milwaukee Bucks,5,1,4,,240,428,162,389,,24,72,,80,108,,56,140,196,103,82,41,21,40,112,1,-63
2,Minnesota Timberwolves,82,58,24,,3951,7753,3033,6571,,326,897,,1361,1743,,875,2645,3520,1890,1043,561,462,296,1731,6,450
7,Minnesota Timberwolves,18,10,8,,869,1655,611,1387,,106,274,,327,419,,174,582,756,347,270,119,93,62,437,1,-1
9,New Jersey Nets,82,47,35,,3941,7401,2813,6372,,377,1123,,1398,1856,,862,2473,3335,2009,1209,709,322,374,1722,5,205
2,New Jersey Nets,11,7,4,,543,970,339,801,,49,180,,243,333,,117,353,470,225,204,95,59,64,286,2,27
14,New Orleans Hornets,82,41,41,,3966,7529,2772,6605,,531,1666,,1454,1937,,1091,2418,3509,1716,1228,708,346,429,1715,7,-11
9,New Orleans Hornets,7,3,4,,336,564,205,534,,41,130,,113,145,,86,210,296,135,120,43,32,28,146,1,-21
17,New York Knicks,82,39,43,,3976,7542,2881,6513,,406,1115,,1374,1732,,950,2543,3493,1695,1289,608,391,383,1897,3,-121
14,New York Knicks,4,0,4,,192,336,123,320,,17,58,,73,101,,49,105,154,78,65,37,16,20,112,0,-51
29,Orlando Magic,82,21,61,,3966,7711,2904,6768,,429,1248,,1474,2000,,1003,2350,3353,1584,1123,547,308,450,1744,4,-576
22,Philadelphia 76ers,82,33,49,,3971,7215,2682,6260,,339,992,,1512,2009,,941,2408,3349,1640,1307,654,358,463,1701,1,-204
24,Phoenix Suns,82,29,53,,3946,7723,2958,6671,,415,1202,,1392,1865,,924,2406,3330,1586,1249,734,383,431,1862,3,-307
14,Portland Trail Blazers,82,41,41,,3996,7440,2898,6467,,381,1102,,1263,1728,,1040,2376,3416,1768,1213,613,443,390,1554,4,-104
5,Sacramento Kings,82,55,27,,3956,8433,3103,6711,,601,1498,,1626,2044,,888,2492,3380,2152,1137,710,325,413,1586,4,411
6,Sacramento Kings,12,7,5,,581,1142,423,995,,70,201,,226,298,,131,397,528,274,172,113,44,76,253,0,1
3,San Antonio Spurs,82,57,25,,3951,7501,2842,6434,,408,1140,,1409,2069,,1029,2669,3698,1676,1203,661,537,380,1667,2,592
4,San Antonio Spurs,10,6,4,,480,893,335,762,,69,189,,154,239,,126,297,423,194,155,77,42,52,228,1,31
18,Seattle SuperSonics,82,37,45,,3961,7964,2939,6590,,723,1936,,1363,1782,,907,2318,3225,1782,1188,661,387,387,1784,5,-52
22,Toronto Raptors,82,33,49,,3996,7006,2654,6348,,461,1294,,1237,1650,,830,2419,3249,1574,1165,604,402,333,1748,2,-247
12,Utah Jazz,82,42,40,,3956,7271,2690,6172,,252,786,,1639,2196,,1103,2272,3375,1671,1365,581,494,530,2096,5,-100
27,Washington Wizards,82,25,57,,3966,7531,2759,6557,,434,1270,,1579,2211,,1115,2392,3507,1537,1439,733,406,448,1712,3,-459
