,TEAM,GP,W,L,win%,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3p%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,#ERROR!
1,Cleveland Cavaliers,21,16,5,,1008,2200,805,1717,,258,635,,332,458,,225,684,909,446,262,163,89,94,412,441,181
2,Golden State Warriors,24,15,9,,1157,2585,934,2055,,306,778,,411,559,,252,785,1037,583,336,191,131,124,527,531,105
3,Oklahoma City Thunder,18,11,7,,864,1915,688,1521,,149,448,,390,496,,225,620,845,369,250,139,97,72,366,381,95
4,San Antonio Spurs,10,6,4,,480,1020,387,825,,82,191,,164,205,,79,316,395,213,116,91,70,47,182,199,91
5,Miami Heat,14,7,7,,687,1356,516,1127,,96,268,,228,298,,127,492,619,229,184,76,83,47,297,274,44
5,Toronto Raptors,20,10,10,,975,1868,685,1628,,137,459,,361,490,,216,591,807,314,260,150,73,97,437,409,-85
7,Portland Trail Blazers,11,5,6,,533,1155,408,980,,131,344,,208,281,,142,382,524,237,144,68,43,65,258,240,-28
8,Charlotte Hornets,7,3,4,,336,632,223,563,,40,130,,146,174,,50,208,258,95,66,40,23,50,122,151,-62
8,Indiana Pacers,7,3,4,,336,656,231,524,,57,149,,137,167,,64,211,275,127,101,53,39,32,156,152,10
10,Atlanta Hawks,10,4,6,,485,1001,366,848,,106,318,,163,205,,89,354,443,226,144,75,76,55,202,209,-10
11,Boston Celtics,6,2,4,,293,563,206,537,,52,189,,99,126,,64,212,276,126,88,38,39,52,132,120,-40
11,LA Clippers,6,2,4,,288,590,223,510,,34,117,,110,176,,68,209,277,109,58,51,28,21,123,143,6
13,Dallas Mavericks,5,1,4,,240,469,177,406,,31,107,,84,121,,46,129,175,103,59,30,12,23,120,112,-91
13,Houston Rockets,5,1,4,,240,456,165,428,,38,142,,88,137,,72,165,237,90,95,42,21,27,128,111,-94
15,Detroit Pistons,4,0,4,,192,380,144,301,,35,93,,57,88,,28,123,151,87,42,21,13,10,76,81,-34
15,Memphis Grizzlies,4,0,4,,192,324,128,325,,19,64,,49,70,,55,109,164,66,62,31,16,37,86,70,-88
1,Golden State Warriors,82,73,9,,3976,9421,3489,7159,,1077,2592,,1366,1790,,816,2972,3788,2373,1245,689,498,336,1701,1627,882
2,San Antonio Spurs,82,67,15,,3941,8490,3289,6797,,570,1518,,1342,1672,,770,2831,3601,2010,1071,677,485,317,1433,1597,872
3,Cleveland Cavaliers,82,57,25,,3971,8555,3171,6888,,880,2428,,1333,1783,,873,2777,3650,1861,1114,551,317,362,1666,1690,492
4,Toronto Raptors,82,56,26,,3956,8422,3006,6669,,708,1915,,1702,2190,,836,2724,3560,1536,1073,636,449,442,1610,1801,369
5,Oklahoma City Thunder,82,55,27,,3966,9038,3372,7082,,678,1945,,1616,2067,,1071,2916,3987,1883,1305,603,487,373,1691,1653,597
6,LA Clippers,82,53,29,,3966,8569,3141,6759,,797,2190,,1490,2152,,721,2727,3448,1873,1063,709,460,259,1746,1842,351
7,Atlanta Hawks,82,48,34,,3966,8433,3168,6923,,815,2326,,1282,1638,,679,2772,3451,2100,1226,747,486,411,1570,1500,296
7,Boston Celtics,82,48,34,,3956,8669,3216,7318,,717,2142,,1520,1929,,950,2733,3683,1981,1127,752,348,450,1796,1718,263
7,Charlotte Hornets,82,48,34,,3971,8479,3036,6922,,873,2410,,1534,1941,,734,2869,3603,1778,1029,595,438,448,1487,1670,223
7,Miami Heat,82,48,34,,3966,8204,3150,6697,,498,1480,,1406,1889,,807,2811,3618,1709,1155,553,531,337,1502,1608,135
11,Indiana Pacers,82,45,37,,3976,8377,3142,6985,,663,1889,,1430,1872,,847,2779,3626,1741,1219,742,391,366,1641,1676,140
12,Detroit Pistons,82,44,38,,3976,8361,3111,7087,,740,2148,,1399,2095,,1021,2777,3798,1594,1110,573,304,366,1557,1773,50
12,Portland Trail Blazers,82,44,38,,3961,8622,3167,7040,,864,2336,,1424,1889,,948,2782,3730,1748,1200,562,380,424,1782,1597,68
14,Chicago Bulls,82,42,40,,3981,8335,3165,7170,,651,1753,,1354,1720,,907,2889,3796,1870,1141,495,470,465,1545,1535,-121
14,Dallas Mavericks,82,42,40,,4001,8388,3064,6900,,806,2342,,1454,1831,,751,2781,3532,1813,1047,560,306,363,1595,1757,-25
14,Memphis Grizzlies,82,42,40,,3966,8126,3019,6859,,504,1521,,1584,2024,,916,2497,3413,1697,1090,724,350,469,1783,1732,-184
17,Houston Rockets,82,41,41,,3966,8737,3094,6847,,878,2533,,1671,2407,,930,2601,3531,1821,1307,821,430,404,1790,1847,16
17,Washington Wizards,82,41,41,,3951,8534,3238,7033,,709,1983,,1349,1849,,743,2688,3431,2005,1186,708,323,356,1708,1651,-41
19,Utah Jazz,82,40,42,,3991,8010,2957,6593,,694,1956,,1402,1885,,880,2665,3545,1554,1224,631,425,385,1655,1629,147
20,Orlando Magic,82,35,47,,3981,8369,3242,7120,,636,1818,,1249,1649,,843,2709,3552,1933,1155,673,417,448,1701,1497,-133
21,Denver Nuggets,82,33,49,,3966,8355,3093,7003,,656,1943,,1513,1974,,941,2718,3659,1858,1202,609,395,517,1723,1712,-254
21,Milwaukee Bucks,82,33,49,,3966,8122,3145,6740,,440,1277,,1392,1863,,858,2559,3417,1895,1247,672,475,462,1695,1600,-343
21,Sacramento Kings,82,33,49,,3961,8740,3283,7083,,660,1839,,1514,2089,,868,2760,3628,2009,1326,733,368,437,1676,1800,-203
24,New York Knicks,82,32,50,,3961,8065,3022,6886,,610,1762,,1411,1753,,850,2788,3638,1682,1099,467,466,343,1616,1520,-224
25,New Orleans Pelicans,82,30,52,,3956,8423,3153,7040,,702,1951,,1415,1823,,782,2712,3494,1818,1102,633,342,423,1713,1630,-311
