,TEAM,GP,W,L,win%,MIN,PTS,FGM,FGA,FG%,3p,3PA,3p%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,#ERROR!
1,Milwaukee Bucks,82,60,22,,3956,9686,3555,7471,,1105,3134,,1471,1904,,762,3316,4078,2136,1137,615,486,395,1608,1653,727
2,Toronto Raptors,82,58,24,,3976,9384,3460,7305,,1015,2771,,1449,1803,,786,2920,3706,2085,1150,680,437,368,1724,1683,499
3,Golden State Warriors,82,57,25,,3961,9650,3612,7361,,1087,2824,,1339,1672,,797,2990,3787,2413,1169,625,525,295,1757,1601,530
4,Denver Nuggets,82,54,28,,3946,9075,3439,7384,,903,2571,,1294,1714,,972,2832,3804,2245,1102,634,363,407,1644,1675,324
5,Houston Rockets,82,53,29,,3966,9341,3218,7163,,1323,3721,,1582,2001,,836,2613,3449,1741,1094,700,405,369,1803,1640,391
5,Portland Trail Blazers,82,53,29,,3971,9402,3470,7427,,904,2520,,1558,1914,,967,2968,3935,1887,1135,546,413,420,1669,1699,344
7,Philadelphia 76ers,82,51,31,,3961,9445,3407,7233,,889,2474,,1742,2258,,892,3025,3917,2207,1223,606,432,336,1745,1816,221
8,Utah Jazz,82,50,32,,3951,9161,3314,7082,,993,2789,,1540,2092,,820,2981,3801,2133,1240,663,483,376,1728,1835,431
9,Boston Celtics,82,49,33,,3956,9216,3451,7423,,1032,2829,,1282,1598,,804,2849,3653,2155,1052,706,435,317,1670,1602,364
9,Oklahoma City Thunder,82,49,33,,3971,9387,3497,7706,,932,2677,,1461,2049,,1031,2911,3942,1917,1145,766,425,415,1839,1844,279
11,Indiana Pacers,82,48,34,,3941,8857,3390,7135,,779,2081,,1298,1727,,762,2766,3528,2128,1122,713,404,425,1594,1642,273
11,LA Clippers,82,48,34,,3966,9442,3384,7178,,821,2118,,1853,2340,,796,2936,3732,1970,1193,561,385,498,1913,1969,70
11,San Antonio Spurs,82,48,34,,3961,9156,3468,7248,,812,2071,,1408,1720,,757,2910,3667,2013,992,501,386,332,1487,1611,138
14,Brooklyn Nets,82,42,40,,3996,9204,3301,7358,,1047,2965,,1555,2088,,900,2919,3819,1954,1236,539,339,432,1763,1807,-6
14,Orlando Magic,82,42,40,,3956,8800,3316,7307,,937,2633,,1231,1575,,822,2902,3724,2095,1082,543,445,362,1526,1537,58
16,Detroit Pistons,82,41,41,,3971,8778,3185,7238,,993,2854,,1415,1893,,936,2752,3688,1845,1135,569,331,419,1811,1748,-20
17,Charlotte Hornets,82,39,43,,3966,9081,3297,7362,,977,2783,,1510,1895,,814,2778,3592,1905,1001,591,405,492,1550,1686,-90
17,Miami Heat,82,39,43,,3946,8668,3251,7218,,928,2658,,1238,1782,,921,2879,3800,1991,1208,627,448,389,1712,1652,-19
17,Sacramento Kings,82,39,43,,3946,9363,3541,7637,,927,2455,,1354,1865,,906,2819,3725,2083,1095,679,363,420,1751,1753,-92
20,Los Angeles Lakers,82,37,45,,3956,9165,3491,7425,,847,2541,,1336,1910,,835,2985,3820,2096,1284,618,440,421,1701,1706,-141
21,Minnesota Timberwolves,82,36,46,,3966,9223,3413,7483,,827,2357,,1570,1995,,923,2750,3673,2018,1074,683,411,455,1664,1795,-123
22,Dallas Mavericks,82,33,49,,3956,8927,3182,7122,,1022,3002,,1541,2076,,832,2884,3716,1918,1167,533,351,368,1650,1905,-105
22,Memphis Grizzlies,82,33,49,,3976,8490,3113,6924,,811,2368,,1453,1882,,723,2703,3426,1963,1147,684,448,402,1801,1758,-213
22,New Orleans Pelicans,82,33,49,,3951,9466,3581,7563,,842,2449,,1462,1921,,909,2969,3878,2216,1215,610,441,445,1732,1722,-109
25,Washington Wizards,82,32,50,,3986,9350,3456,7387,,930,2731,,1508,1963,,794,2679,3473,2154,1154,683,379,378,1701,1741,-238
26,Atlanta Hawks,82,29,53,,3971,9294,3392,7524,,1067,3034,,1443,1918,,955,2825,3780,2118,1397,675,419,448,1932,1817,-494
27,Chicago Bulls,82,22,60,,3981,8605,3266,7205,,745,2123,,1328,1695,,718,2799,3517,1796,1159,603,351,473,1663,1534,-690
28,Cleveland Cavaliers,82,19,63,,3951,8567,3189,7184,,847,2388,,1342,1694,,879,2619,3498,1698,1106,534,195,459,1642,1592,-788
28,Phoenix Suns,82,19,63,,3976,8815,3289,7164,,790,2400,,1447,1858,,748,2563,3311,1957,1279,735,418,411,1932,1694,-766
30,New York Knicks,82,17,65,,3956,8575,3134,7241,,823,2421,,1484,1956,,857,2811,3668,1646,1151,557,422,458,1713,1708,-755
1,Milwaukee Bucks,15,10,5,,730,1692,597,1325,,192,571,,306,420,,152,627,779,375,195,100,96,71,327,350,132
1,Toronto Raptors,24,16,8,,1162,2558,904,2034,,286,827,,464,559,,199,817,1016,541,290,193,110,120,543,522,131
3,Golden State Warriors,22,14,8,,1066,2511,904,1895,,268,720,,435,535,,223,730,953,625,328,163,125,85,511,490,74
4,Philadelphia 76ers,12,7,5,,576,1304,473,1030,,113,341,,245,310,,137,445,582,293,198,76,65,41,269,265,36
5,Boston Celtics,9,5,4,,432,919,321,757,,102,297,,175,218,,67,363,430,193,133,53,34,39,187,189,-13
6,Houston Rockets,11,6,5,,533,1194,409,922,,172,470,,204,267,,106,366,472,201,174,94,56,51,238,237,35
7,Denver Nuggets,14,7,7,,692,1528,559,1263,,134,389,,276,353,,183,485,668,336,137,80,65,66,298,307,26
7,Portland Trail Blazers,16,8,8,,793,1755,631,1447,,189,525,,304,397,,183,540,723,316,206,110,82,94,364,365,-22
9,San Antonio Spurs,7,3,4,,336,723,276,596,,47,139,,124,161,,75,241,316,148,59,32,28,25,136,140,-13
10,LA Clippers,6,2,4,,288,688,239,535,,69,190,,141,173,,60,181,241,152,90,48,20,45,150,155,-59
11,Brooklyn Nets,5,1,4,,240,557,192,457,,55,170,,118,146,,56,146,202,96,71,38,14,30,114,121,-55
11,Oklahoma City Thunder,5,1,4,,240,526,189,430,,52,157,,96,127,,51,165,216,113,76,33,27,29,121,117,-29
11,Orlando Magic,5,1,4,,240,460,161,415,,52,174,,86,111,,48,169,217,95,78,33,20,21,94,115,-72
11,Utah Jazz,5,1,4,,240,489,173,432,,47,179,,96,128,,59,177,236,115,76,46,27,35,109,107,-46
15,Detroit Pistons,4,0,4,,192,392,150,387,,44,133,,48,66,,43,126,169,92,42,29,16,35,97,80,-95
15,Indiana Pacers,4,0,4,,192,367,134,334,,40,119,,59,82,,32,129,161,83,48,33,14,12,80,78,-30
