,TEAM,GP,W,L,win%,MIN,PTS,FGM,FGA,FG%,3p,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,#ERROR!
1,Atlanta Hawks,2,2,0,,96,239,88,174,,25,63,39.7,38,47,,22,74,96,46,25,10,9,8,44,44,35
1,Brooklyn Nets,1,1,0,,48,115,45,84,,9,28,32.1,16,24,,10,33,43,33,14,9,9,2,20,21,7
1,Minnesota Timberwolves,1,1,0,,48,109,36,83,,14,35,40,23,37,,12,37,49,19,13,10,2,5,26,28,5
1,New Orleans Pelicans,2,2,0,,96,218,87,169,,14,42,33.3,30,48,,25,82,107,45,23,6,10,6,48,41,14
5,Charlotte Hornets,1,0,1,,48,103,34,90,,13,41,31.7,22,29,,11,30,41,22,14,4,4,6,24,25,-29
5,Cleveland Cavaliers,2,0,2,,96,209,78,173,,22,62,35.5,31,37,,18,58,76,49,29,17,6,12,41,39,-13
5,LA Clippers,2,0,2,,96,205,69,163,,25,71,35.2,42,61,,19,65,84,39,25,12,8,5,49,52,-9
5,San Antonio Spurs,1,0,1,,48,103,37,91,,13,34,38.2,16,22,,8,26,34,19,6,4,3,7,20,22,-10
1,Golden State Warriors,22,16,6,,1056,2461,910,1895,,308,821,37.5,333,435,,216,750,966,594,320,170,109,107,474,424,111
2,Miami Heat,18,11,7,,864,1876,684,1536,,196,626,31.3,312,388,,177,562,739,394,233,150,66,83,386,386,69
3,Boston Celtics,24,14,10,,1152,2533,881,1962,,328,879,37.3,443,556,,216,814,1030,588,353,154,150,113,497,521,86
3,Milwaukee Bucks,12,7,5,,576,1233,462,1056,,127,388,32.7,182,249,,117,488,605,250,165,76,54,66,229,241,18
5,Phoenix Suns,13,7,6,,624,1399,535,1076,,128,353,36.3,201,246,,123,399,522,334,173,86,49,39,292,276,-13
6,Dallas Mavericks,18,9,9,,864,1914,653,1455,,284,747,38,324,420,,117,540,657,345,184,129,50,64,380,397,13
6,Memphis Grizzlies,12,6,6,,576,1350,477,1096,,157,430,36.5,239,325,,149,401,550,302,168,110,73,81,249,285,29
6,Philadelphia 76ers,12,6,6,,581,1254,437,939,,149,400,37.3,231,272,,92,376,468,261,177,73,52,50,247,246,4
9,Minnesota Timberwolves,6,2,4,,288,655,218,492,,83,214,38.8,136,168,,42,198,240,137,106,49,47,37,161,139,-33
9,New Orleans Pelicans,6,2,4,,288,659,234,506,,56,158,35.4,135,173,,91,183,274,128,87,38,21,24,127,136,-9
9,Toronto Raptors,6,2,4,,293,619,230,516,,59,197,29.9,100,126,,60,165,225,124,60,40,29,29,133,122,-50
9,Utah Jazz,6,2,4,,288,594,210,474,,49,179,27.4,125,159,,56,213,269,103,70,24,22,14,132,139,-34
13,Atlanta Hawks,5,1,4,,240,487,172,391,,57,175,32.6,86,110,,43,154,197,93,82,29,12,15,108,117,-60
13,Chicago Bulls,5,1,4,,240,476,182,451,,52,184,28.3,60,72,,41,179,220,115,65,39,16,24,93,89,-73
13,Denver Nuggets,5,1,4,,240,550,197,414,,56,157,35.7,100,126,,56,153,209,125,82,35,17,31,125,116,-40
16,Brooklyn Nets,4,0,4,,192,436,157,312,,46,109,42.2,76,103,,34,102,136,89,61,32,26,16,99,98,-18
1,Phoenix Suns,82,64,18,,3946,9416,3581,7389,,951,2616,36.4,1303,1635,,801,2913,3714,2244,1060,702,359,327,1633,1553,615
2,Memphis Grizzlies,82,56,26,,3956,9480,3571,7739,,945,2679,35.3,1393,1898,,1159,2873,4032,2131,1082,800,533,496,1620,1625,466
3,Golden State Warriors,82,53,29,,3946,9102,3323,7087,,1176,3231,36.4,1280,1665,,800,2930,3730,2223,1221,719,372,317,1723,1474,454
3,Miami Heat,82,53,29,,3971,9022,3246,6954,,1114,2936,37.9,1416,1753,,807,2778,3585,2090,1194,606,265,330,1679,1686,365
5,Dallas Mavericks,82,52,30,,3951,8858,3222,6982,,1073,3063,35,1341,1739,,759,2769,3528,1918,1025,552,325,300,1612,1645,271
6,Boston Celtics,82,51,31,,3981,9164,3341,7167,,1085,3044,35.6,1397,1713,,863,2915,3778,2036,1118,591,478,376,1521,1592,597
