,TEAM,GP,W,L,win%,MIN,PTS,FGM,FGA,FG%,3p,3PA,3%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,#ERROR!
21,Atlanta Hawks,82,36,46,,3971,9703,3529,7584,,1125,3092,,1520,1906,,1024,2639,3663,2180,1110,615,369,461,1522,1594,-179
7,Atlanta Hawks,1,0,1,,48,116,41,91,,11,37,,23,28,,8,26,34,30,11,4,2,8,16,20,-15
1,Boston Celtics,82,64,18,,3966,9887,3601,7396,,1351,3482,,1334,1654,,876,2923,3799,2207,979,557,538,304,1326,1416,930
2,Boston Celtics,19,16,3,,917,2067,747,1593,,275,764,,298,367,,184,634,818,452,218,119,102,42,298,342,153
22,Brooklyn Nets,82,32,50,,3961,9050,3334,7307,,1089,3010,,1293,1711,,938,2675,3613,2102,1076,556,424,409,1516,1496,-237
27,Charlotte Hornets,82,21,61,,3946,8740,3281,7133,,989,2788,,1189,1512,,765,2538,3303,2033,1129,562,371,396,1472,1432,-840
20,Chicago Bulls,82,39,43,,3996,9206,3448,7339,,941,2630,,1369,1731,,916,2677,3593,2048,1004,638,394,404,1541,1538,-118
3,Chicago Bulls,2,1,1,,96,222,89,187,,24,69,,20,25,,17,68,85,54,22,18,14,8,39,27,-6
11,Cleveland Cavaliers,82,48,34,,3961,9236,3425,7148,,1108,3016,,1278,1671,,808,2742,3550,2299,1112,605,380,410,1436,1536,198
6,Cleveland Cavaliers,12,5,7,,576,1177,449,1001,,124,394,,155,204,,92,373,465,255,146,80,55,60,237,220,-67
6,Dallas Mavericks,82,50,32,,3941,9664,3535,7352,,1197,3242,,1397,1842,,797,2724,3521,2106,1027,563,406,331,1500,1667,181
1,Dallas Mavericks,22,13,9,,1056,2331,855,1827,,262,728,,359,499,,239,709,948,465,276,138,116,108,417,434,57
2,Denver Nuggets,82,57,25,,3941,9418,3610,7279,,958,2560,,1240,1628,,881,2762,3643,2415,1036,585,456,394,1489,1467,431
6,Denver Nuggets,12,7,5,,576,1226,467,1022,,126,379,,166,200,,119,391,510,299,144,77,51,61,216,219,-25
