"","Team","GP","W","L","win%","MIN","PTS","FGM","FGA","FG%","x3","x3A","x3%","FTM","FTA","FT%","OREB","DREB","REB","AST","TOV","STL","BLK","BLKA","PF","PFD","plus.minus","OREB%","DREB%","AST-TOV","BLK-BLKA","PF-PFD","year"
"1","Atlanta Hawks",82,33,49,40.2439024390244,3956,94.0365853658537,35.3780487804878,80.609756097561,43.8880484114977,5.15853658536585,14.5609756097561,35.427135678392,18.1219512195122,23.6829268292683,76.519052523172,11.6463414634146,29.8170731707317,41.4634146341463,20.1829268292683,15.5365853658537,8.12195121951219,4.25609756097561,6.19512195121951,20.7560975609756,0.109756097560976,-4.23170731707317,28.0882352941176,71.9117647058823,4.64634146341463,-1.9390243902439,20.6463414634146,2001
"2","Boston Celtics",98,58,40,59.1836734693878,4734,95.5204081632653,34.4591836734694,81.4897959183673,42.2865013774105,8.41836734693878,23.6020408163265,35.6679636835279,18.1836734693878,23.7448979591837,76.5792866351526,10.8163265306122,31.5612244897959,42.3775510204082,20.6326530612245,13.6734693877551,9.54081632653061,3.75510204081633,5.6530612244898,21.8571428571429,0.0306122448979592,2.30612244897959,25.5237177943655,74.4762822056345,6.95918367346939,-1.89795918367347,21.8265306122449,2001
"3","Charlotte Hornets",91,48,43,52.7472527472528,4393,94.1208791208791,35.1648351648352,80.3186813186813,43.7816390751129,4.24175824175824,12.1318681318681,34.963768115942,19.5494505494506,26.3296703296703,74.2487479131887,13.0879120879121,30.6483516483516,43.7362637362637,21.2637362637363,14.0989010989011,8.05494505494505,5.73626373626374,5.15384615384615,21.9120879120879,0.175824175824176,0.868131868131868,29.9246231155779,70.0753768844221,7.16483516483517,0.582417582417582,21.7362637362637,2001
"4","Chicago Bulls",82,21,61,25.609756097561,3961,89.4512195121951,34.280487804878,79.1585365853659,43.3061161608381,3.65853658536585,10.5853658536585,34.5622119815668,17.2317073170732,23.8780487804878,72.1654749744637,11.2682926829268,28.7682926829268,40.0365853658537,22.1585365853659,15.2682926829268,7.71951219512195,4.40243902439024,4.86585365853659,22.3658536585366,0.158536585365854,-8.53658536585366,28.1449893390192,71.8550106609808,6.89024390243902,-0.463414634146341,22.2073170731707,2001
"5","Cleveland Cavaliers",82,29,53,35.3658536585366,3971,95.2682926829268,35.9512195121951,80.2682926829268,44.7888179884534,4.71951219512195,12.5121951219512,37.719298245614,18.6463414634146,24.1463414634146,77.2222222222222,11.8048780487805,30.280487804878,42.0853658536585,23.0609756097561,14.5853658536585,6.97560975609756,5.73170731707317,5.59756097560976,21.3658536585366,0.121951219512195,-3.32926829268293,28.0498406259055,71.9501593740945,8.47560975609756,0.134146341463415,21.2439024390244,2001
"6","Dallas Mavericks",90,61,29,67.7777777777778,4365,105.566666666667,39.0888888888889,84.8222222222222,46.0833115011789,7.64444444444444,20.2444444444444,37.7607025246981,19.7444444444444,24.4,80.91985428051,11.1666666666667,31.2888888888889,42.4555555555556,21.8666666666667,12.1333333333333,7.01111111111111,4.76666666666667,4.55555555555556,22.7555555555556,0.111111111111111,3.9,26.3020151792724,73.6979848207276,9.73333333333333,0.211111111111111,22.6444444444444,2001
"7","Denver Nuggets",82,27,55,32.9268292682927,3961,92.1829268292683,35.5487804878049,83.780487804878,42.4308588064047,5.15853658536585,15.6707317073171,32.9182879377432,15.9268292682927,21.4146341463415,74.373576309795,13.6219512195122,28.1707317073171,41.7926829268293,22.1585365853659,14.6951219512195,7.47560975609756,5.63414634146341,6.82926829268293,22.8414634146341,0.109756097560976,-5.81707317073171,32.5941056317479,67.4058943682521,7.46341463414634,-1.19512195121951,22.7317073170732,2001
"8","Detroit Pistons",92,54,38,58.695652173913,4416,93.0978260869565,34.1195652173913,76.4891304347826,44.607076879352,7.03260869565217,18.8586956521739,37.2910662824208,17.8260869565217,23.6739130434783,75.2984389348026,9.85869565217391,28.7717391304348,38.6304347826087,21.2173913043478,14.554347826087,7.83695652173913,6.75,4.1195652173913,20.7065217391304,0.0760869565217391,1.85869565217391,25.5205402363534,74.4794597636466,6.66304347826087,2.6304347826087,20.6304347826087,2001
"9","Golden State Warriors",82,21,61,25.609756097561,3956,97.6707317073171,36.5609756097561,85.2317073170732,42.895979396194,3.90243902439024,12.1219512195122,32.1931589537223,20.6463414634146,28.5853658536585,72.2269624573379,16.2682926829268,30.4024390243902,46.6707317073171,20.8048780487805,16.8048780487805,7.92682926829268,6.3780487804878,6.29268292682927,22.9756097560976,0.231707317073171,-5.40243902439024,34.8575908021949,65.1424091978051,4,0.0853658536585366,22.7439024390244,2001
"10","Houston Rockets",82,28,54,34.1463414634146,3996,92.3414634146341,34.5975609756098,80.8414634146341,42.7968019309096,6.04878048780488,18.0487804878049,33.5135135135135,17.0975609756098,23.0853658536585,74.0623349181194,12.5,29.4024390243902,41.9024390243902,18.0731707317073,14.0975609756098,6.54878048780488,5.42682926829268,5.0609756097561,18,0.134146341463415,-4.89024390243902,29.8311990686845,70.1688009313155,3.97560975609756,0.365853658536585,17.8658536585366,2001
