"","Team","GP","W","L","win%","MIN","PTS","FGM","FGA","FG%","x3","x3A","x3%","FTM","FTA","FT%","OREB","DREB","REB","AST","TOV","STL","BLK","BLKA","PF","PFD","plus.minus","OREB%","DREB%","AST-TOV","BLK-BLKA","PF-PFD","year"
"1","Atlanta Hawks",59,34,25,57.6271186440678,2847,85.2881355932203,30.4406779661017,75.0847457627119,40.5417607223476,4.06779661016949,13.2542372881356,30.690537084399,20.3389830508475,27.6271186440678,73.6196319018405,13.271186440678,29.5084745762712,42.7796610169492,15.3559322033898,14.7966101694915,7.10169491525424,5.01694915254237,4.55932203389831,19.6779661016949,0.203389830508475,2.03389830508475,31.0221870047544,68.9778129952456,0.559322033898305,0.457627118644068,19.4745762711864,1998
"2","Boston Celtics",50,19,31,38,2430,93,36.32,83.28,43.611911623439,5.46,15.16,36.0158311345646,14.9,21.54,69.1736304549675,13.6,29.16,42.76,21.46,16.14,9.06,5.1,5.06,23.86,0.12,-1.86,31.8054256314312,68.1945743685688,5.32,0.04,23.74,1998
"3","Charlotte Hornets",50,26,24,52,2430,92.88,33.42,74.36,44.9435180204411,5.36,14.7,36.4625850340136,20.68,27.68,74.7109826589595,9.6,29.86,39.46,22.2,15.92,8.86,4.94,4.64,22.02,0.12,-0.1,24.3284338570705,75.6715661429295,6.28,0.3,21.9,1998
"4","Chicago Bulls",50,13,37,26,2414,81.9,30.78,76.72,40.1199165797706,3.54,12.22,28.9689034369885,16.8,23.7,70.8860759493671,11.46,27.88,39.34,20.34,15.48,8.72,3.38,5.7,22.24,0.12,-9.46,29.1306558210473,70.8693441789527,4.86,-2.32,22.12,1998
"5","Cleveland Cavaliers",50,22,28,44,2410,86.44,31.24,71.22,43.8640831227183,3.64,10.68,34.0823970037453,20.32,27.12,74.9262536873156,9.44,26.32,35.76,21.86,15.7,9.04,4.06,5.64,24.16,0.12,-1.72,26.3982102908277,73.6017897091723,6.16,-1.58,24.04,1998
"6","Dallas Mavericks",50,19,31,38,2415,91.62,34.98,80.66,43.3672204314406,4.04,11.9,33.9495798319328,17.62,24.2,72.8099173553719,12.9,29.56,42.46,18.42,13.84,7.04,5.84,4.88,21.3,0.12,-2.4,30.3815355628827,69.6184644371173,4.58,0.96,21.18,1998
"7","Denver Nuggets",50,14,36,28,2405,93.48,33.62,79.78,42.1408874404613,6.04,18.44,32.7548806941432,20.2,26.5,76.2264150943396,12.94,27.84,40.78,19.38,14.78,7.52,5.5,5.48,22.9,0.12,-6.6,31.7312408043158,68.2687591956842,4.6,0.02,22.78,1998
"8","Detroit Pistons",55,31,24,56.3636363636364,2650,89.3454545454545,33.1090909090909,74.3818181818182,44.5123441701296,4.81818181818182,13.2,36.5013774104683,18.3090909090909,24.6363636363636,74.3173431734317,12.0181818181818,27.8545454545455,39.8727272727273,19.9636363636364,15.4363636363636,8.72727272727273,3.94545454545455,4.50909090909091,22.7636363636364,0.127272727272727,2.83636363636364,30.141358869129,69.858641130871,4.52727272727273,-0.563636363636364,22.6363636363636,1998
"9","Golden State Warriors",50,21,29,42,2425,88.32,34.6,83.46,41.456985382219,3.24,11.3,28.6725663716814,15.88,23.5,67.5744680851064,16.32,31.18,47.5,20.74,15.36,8.28,4.42,6.08,25.4,0.12,-2.5,34.3578947368421,65.6421052631579,5.38,-1.66,25.28,1998
"10","Houston Rockets",54,32,22,59.2592592592593,2607,94.4259259259259,35,76.3518518518518,45.8404074702886,6.7962962962963,18.5,36.7367367367367,17.6296296296296,24.0925925925926,73.174481168332,10.9074074074074,30.9259259259259,41.8333333333333,21.1111111111111,16.0185185185185,7.7037037037037,5.14814814814815,5.16666666666667,19.7037037037037,0.0555555555555556,1.98148148148148,26.0734838424081,73.9265161575919,5.09259259259259,-0.0185185185185185,19.6481481481481,1998
